age_group,gender,role_in_household,household_size,household_head_education,primary_income,main_drinking_water,distance_to_water_source,litres_per_person_per_day,bathing_frequency,weekly_water_cost,equitable_access,household_shortage_frequency,household_shortage_seriousness,shortage_reason,school_affiliation,school_role,school_type,school_ownership,school_student_population,school_staff_population,school_has_potable_water,school_water_source,school_monthly_water_cost,school_hours_water_available,school_equitable_access,school_water_challenges,school_drinking_frequency,school_has_handwashing_facilities,school_handwashing_frequency,school_sleep_without_bathing,school_sleep_without_bathing_frequency,health_affiliation,health_facility_typehealth_facility_type,health_facility_ownership,health_daily_patients,health_staff_count,health_water_source,health_water_reliability,health_monthly_water_cost,health_shortage_frequency,health_shortage_coping,health_service_disruptions,health_services_affected,health_toilet_closures,health_sanitation_management,health_handwashing_impact,health_hygiene_problems,health_sanitation_difficulty,community_water_challenges,community_water_suggestions,additional_information,litres_per_person_per_day_num,household_shortage_frequency_num,shortage_reason_list,distance_to_water_source_numeric,weekly_water_cost_ssp,weekly_water_cost_usd,school_monthly_water_cost_ssp,school_monthly_water_cost_usd,health_monthly_water_cost_ssp,health_monthly_water_cost_usd,school_has_potable_water_numeric,school_has_potable_water_clean,school_hours_water_available_numeric,school_handwashing_frequency_numeric,school_sleep_without_bathing_numeric,school_sleep_without_bathing_frequency_numeric,health_water_reliability_numeric,health_service_disruptions_numeric,health_shortage_frequency_numeric,health_toilet_closures_numeric,health_handwashing_impact_numeric,health_hygiene_problems_numeric,health_sanitation_difficulty_numeric,high_cost,shortage,quality,access,infrastructure,pipes,boreholes,treatment,more_taps,education,additional_high_cost,additional_shortage,additional_quality,additional_access,additional_infrastructure,additional_pipes,additional_boreholes,additional_treatment,additional_more_taps,additional_education,high_cost.1,shortage.1,quality.1,access.1,infrastructure.1,pipes.1,boreholes.1,treatment.1,more_taps.1,education.1,additional_high_cost.1,additional_shortage.1,additional_quality.1,additional_access.1,additional_infrastructure.1,additional_pipes.1,additional_boreholes.1,additional_treatment.1,additional_more_taps.1,additional_education.1,cluster_kmeans,cluster_agg,cluster_dbscan
18-24,Male,Child,7,No formal education,Casual labour,Water Tank,500m-1km,30 - 70,Twice per day,80000.0,,2,3.0,High cost of water,Yes,Teacher,Primary,Public,Less than 500,Less than 50,1,Water tank,500000.0,6-12 hours,Yes,Water is expensive,More than 3 times,none,More than 3 times,Yes,Rarely (once in a while),No,,,,,,,250000.0,,,,,,,,,Not Applicable,High cost,Installation of pipe and make water accessible ,Water which are normally buy from water tankers are usually not clean and we hope forward to getting clean water some days ,50.0,2,['High cost of water'],500.0,80000.0,17.77777777777778,500000.0,111.11111111111111,250000.0,55.55555555555556,,1,9.0,4.0,1.0,1.0,,,,,,,not applicable,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-1
25-34,Male,Relative,8,Tertiary school,Farming,Water Tank,More than 1km,25 - 30,Once per day,20000.0,1.0,1,3.0,Limited daily supply,Yes,Student,University/College,Public,"More than 2,000",101-200,1,Water tank,50000.0,Less than 2 hours,Yes,Water is expensive,2-3 times,0,Once,No,A few times per week,Yes,Hospital,Public/Government,Less than 50,20-50,Water tanker/truck,Very reliable,70000.0,Daily,Buy water from vendors,Rarely,"Patient hygiene (washing, bathing)",frequently,"Alternative water sources used (tankers, boreholes, wells)",Always affected,significantly,Agree,"It's unhealthy environment 
It's absence of sanitation schedule 
",It's strong encourage the government of south Sudan especially in juba city to prioritize the water pipeline to every households.,"Yeah, because our water resources are always with us but utilisation is only problem ",27.5,1,['Limited daily supply'],1020.0,20000.0,4.444444444444445,50000.0,11.111111111111112,70000.0,15.555555555555555,,1,1.0,1.0,0.0,4.0,2.0,1.0,7.0,2.0,2.0,2.0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
18-24,Male,Head of household,10,Secondary School,Business,Water Tank,More than 1km,25 - 30,Three or more times per day,98000.0,1.0,3,3.0,"High cost of water, Limited daily supply, Seasonal scarcity",Yes,Student,University/College,Private,"1,001-2,000",Less than 50,2,Piped water,0.0,More than 12 hours,Yes,There was no challenge because what is available always. ,More than 3 times,1,More than 3 times,No,Rarely (once in a while),Yes,Health Center,Private,Less than 50,Less than 20,Water tanker/truck,Moderately reliable,392000.0,A few times per month,Buy water from vendors,Rarely,"Patient hygiene (washing, bathing), Cleaning & sanitation",occasionally,Cleaning reduced/irregular,Sometimes affected,slightly,Strongly agree,"None of home activities can be carried out like accessibility to Toilet, washing of Clothes and many others that needs water besides drinking. ",It's advisable to build underground water pipes which will be able to distributes water ?? from house to house ,"I am very happy for this project survey,
I hope it will improve water accessibility to the community. ",27.5,3,"['High cost of water', 'Limited daily supply', 'Seasonal scarcity']",1020.0,98000.0,21.77777777777778,0.0,0.0,392000.0,87.11111111111111,,2,12.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
25-34,Male,Relative,8,No formal education,Casual labour,Water Tank,500m-1km,more than 120,Twice per day,100000.0,0.0,3,3.0,Long distance to water source,Yes,Student,University/College,Private,"More than 2,000",50-100,0,Piped water,500000.0,Always available,Yes,Poor water quality,More than 3 times,1,More than 3 times,No,Rarely (once in a while),No,,,,,,,250000.0,,,,,,,,,Not Applicable,Dirty water,To create pipeline that distribute water in every corner of juba,No,130.0,3,['Long distance to water source'],500.0,100000.0,22.222222222222225,500000.0,111.11111111111111,250000.0,55.55555555555556,,0,,4.0,0.0,1.0,,,,,,,not applicable,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
18-24,Female,Child,7,No formal education,Farming,Piped water,Less than 100m,25 - 30,Twice per day,35000.0,0.0,3,3.0,Limited daily supply,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,not applicable,Not Applicable,500000.0,Not Applicable,,,,,,,,No,,,,,,,250000.0,,,,,,,,,Not Applicable,Unsafe drinking water ,Add more pipes to provide safe water use ,To avoid a lot of diseases a lot has to be done to provide clean water access.,27.5,3,['Limited daily supply'],100.0,35000.0,7.777777777777779,500000.0,111.11111111111111,250000.0,55.55555555555556,,not applicable,,,,,,,,,,,not applicable,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-1
18-24,Male,Relative,7,Secondary School,Casual labour,Water Tank,More than 1km,30 - 70,Twice per day,15.0,,4,3.0,Poor water quality,Yes,Teacher,Secondary,Private,"500-1,000",Less than 50,1,Water tank,300.0,6-12 hours,Yes,Water is expensive,2-3 times,0,2-3 times,Yes,A few times per month,No,,,,,,,250000.0,,,,,,,,,Not Applicable,Poor quality ,Water purification ,Nope ,50.0,4,['Poor water quality'],1020.0,15.0,0.0033333333333333,300.0,0.0666666666666666,250000.0,55.55555555555556,,1,9.0,2.5,1.0,2.0,,,,,,,not applicable,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
18-24,Female,Child,15,Secondary School,Business,Water Tank,Less than 100m,more than 120,Twice per day,15000.0,,0,3.0,"High cost of water, Limited daily supply, Long distance to water source, Poor water quality",No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,not applicable,Not Applicable,500000.0,Not Applicable,,,,,,,,No,,,,,,,250000.0,,,,,,,,,Not Applicable,Dirty water which is mostly provided by the water tanks,Introducing pipeline water,"Incase piped water is introduced, the price should be affordable to all families.",130.0,0,"['High cost of water', 'Limited daily supply', 'Long distance to water source', 'Poor water quality']",100.0,15000.0,3.333333333333333,500000.0,111.11111111111111,250000.0,55.55555555555556,,not applicable,,,,,,,,,,,not applicable,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-1
18-24,Male,Relative,15,Tertiary school,Salaried job,Piped water,More than 1km,30 - 70,Twice per day,150000.0,,3,3.0,Long distance to water source,Yes,Student,Secondary,Private,"500-1,000",50-100,1,Water tank,100000.0,2-6 hours,No,Water is expensive,2-3 times,1,More than 3 times,Yes,Daily,No,,,,,,,250000.0,,,,,,,,,Not Applicable,Capital ,Water pipes should be connected to homes such that each households get water effectively ,Boreholes should be drilled to reduce water shortage ,50.0,3,['Long distance to water source'],1020.0,150000.0,33.333333333333336,100000.0,22.222222222222225,250000.0,55.55555555555556,,1,4.0,4.0,1.0,7.0,,,,,,,not applicable,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,-1
18-24,Male,Relative,16,Tertiary school,Business,Water Tank,More than 1km,30 - 70,Three or more times per day,50.0,1.0,1,2.0,High cost of water,Yes,Teacher,Secondary,Private,Less than 500,Less than 50,2,Borehole / Well,500000.0,Always available,Yes,Limited storage facilities,2-3 times,0,More than 3 times,No,Rarely (once in a while),No,,,,,,,250000.0,,,,,,,,,Not Applicable,Na,Na,Na,50.0,1,['High cost of water'],1020.0,50.0,0.0111111111111111,500000.0,111.11111111111111,250000.0,55.55555555555556,,2,,4.0,0.0,1.0,,,,,,,not applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1
25-34,Male,Head of household,6,Secondary School,Farming,Borehole,More than 1km,71 - 100,Once per day,50000.0,0.0,3,2.0,High cost of water,Yes,Student,Secondary,Public,"500-1,000",50-100,1,Borehole / Well,1000000000.0,Less than 2 hours,No,"Long queues, Water is expensive, Water is far from classrooms",Once,0,Once,Yes,A few times per week,Yes,Health Center,Public/Government,50-100,20-50,Borehole/well,Moderately reliable,5000.0,A few times per week,Buy water from vendors,frequently,Maternity services,occasionally,Toilets remain unclean,Always affected,slightly,Strongly disagree,Far distance ,Provisions of more borehole ,What will the community gain from this survey!,85.5,3,['High cost of water'],1020.0,50000.0,11.111111111111112,1000000000.0,222222.22222222225,5000.0,1.1111111111111112,,1,1.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-1
35-44,Male,Head of household,20,Tertiary school,Private sector ,Water Tank,More than 1km,25 - 30,Twice per day,120000.0,0.0,3,3.0,"High cost of water, Limited daily supply, Long distance to water source",No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,not applicable,Not Applicable,500000.0,Not Applicable,,,,,,,,Yes,Health Center,Private,50-100,20-50,Water tanker/truck,Unreliable,23.0,A few times per week,Buy water from vendors,frequently,"Surgery & operations, Maternity services, Patient hygiene (washing, bathing), Laboratory services, Cleaning & sanitation",frequently,Toilets remain unclean,Always affected,significantly,Strongly disagree,Very serious challenges because of Roads access. ,Government should be leading in that.,South Sudan needs a lot help for ,27.5,3,"['High cost of water', 'Limited daily supply', 'Long distance to water source']",1020.0,120000.0,26.666666666666668,500000.0,111.11111111111111,23.0,0.0051111111111111,,not applicable,,,,,0.0,3.0,3.0,2.0,2.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
25-34,Female,Child,5,No formal education,Salaried job,Water Tank,100-500m,25 - 30,Twice per day,35000.0,0.0,2,0.0,Long distance to water source,Yes,Student,University/College,Public,"More than 2,000",More than 200,2,Piped water,500000.0,Always available,Maybe,Water is expensive,Once,1,Once,No,Rarely (once in a while),No,,,,,,,250000.0,,,,,,,,,Not Applicable,Costly,Piped water in households,The water from watertanks isn't safe for drinking,27.5,2,['Long distance to water source'],300.0,35000.0,7.777777777777779,500000.0,111.11111111111111,250000.0,55.55555555555556,,2,,1.0,0.0,1.0,,,,,,,not applicable,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1
18-24,Male,Child,7,Secondary School,Casual labour,Borehole,More than 1km,30 - 70,Twice per day,150000.0,1.0,3,3.0,Poor water quality,Yes,Student,Secondary,Private,"500-1,000",50-100,1,Water tank,500000.0,2-6 hours,No,"Long queues, Poor water quality",2-3 times,0,Once,Yes,A few times per week,No,,,,,,,250000.0,,,,,,,,,Not Applicable,"Poor transport system. 
Expensive ","Government should improve good transport routes for the water tanks to reach the whole area .

The Government should provide taps to the community. 

The government should make sure the economy is planned without overloading the weakness of the finance ",The water are not pure meanwhile causing many challenges to the community e.g diseases like cancers,50.0,3,['Poor water quality'],1020.0,150000.0,33.333333333333336,500000.0,111.11111111111111,250000.0,55.55555555555556,,1,4.0,1.0,1.0,4.0,,,,,,,not applicable,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
25-34,Male,Child,25,Tertiary school,Salaried job,Water Tank,More than 1km,more than 120,Twice per day,168.0,1.0,2,3.0,Limited daily supply,Yes,Student,University/College,Public,"More than 2,000",101-200,0,Water tank,1120000.0,2-6 hours,Maybe,"Water is expensive, Poor water quality, Limited storage facilities",Rarely,0,Rarely,Yes,A few times per week,No,,,,,,,250000.0,,,,,,,,,Not Applicable,Lack of affordability ,Connecting water pipeline allover the country ,Creation of different water stations within juba,130.0,2,['Limited daily supply'],1020.0,168.0,0.0373333333333333,1120000.0,248.8888888888889,250000.0,55.55555555555556,,0,4.0,,1.0,4.0,,,,,,,not applicable,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
35-44,Male,Head of household,7,Tertiary school,Farming,Borehole,100-500m,30 - 70,Twice per day,300000.0,1.0,2,3.0,High cost of water,Yes,Teacher,Primary,Public,"1,001-2,000",50-100,1,Water tank,1000000.0,Less than 2 hours,Yes,"Long queues, Water is expensive, Water is far from classrooms, Limited storage facilities",More than 3 times,0,2-3 times,Yes,A few times per week,Yes,Hospital,Public/Government,More than 200,51-100,Water tanker/truck,Unreliable,2000000.0,Daily,Buy water from vendors,occasionally,"Surgery & operations, Maternity services, Patient hygiene (washing, bathing), Laboratory services, Cleaning & sanitation",occasionally,Toilets remain unclean,Always affected,significantly,Strongly agree,Lacks of financial services ,Provision of water chains supply ,We need peace and stability within our community ,50.0,2,['High cost of water'],300.0,300000.0,66.66666666666667,1000000.0,222.22222222222223,2000000.0,444.44444444444446,,1,1.0,2.5,1.0,4.0,0.0,2.0,7.0,1.0,2.0,2.0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1
18-24,Male,Relative,10,Tertiary school,Business,Water Tank,Less than 100m,71 - 100,Once per day,64000.0,1.0,3,3.0,"High cost of water, Limited daily supply, Poor water quality",Yes,Student,University/College,Public,"More than 2,000",More than 200,1,Water tank,500000.0,6-12 hours,No,"Long queues, Poor water quality, Limited storage facilities",Once,none,Rarely,Yes,A few times per week,No,,,,,,,250000.0,,,,,,,,,Not Applicable,Expensive cost of water and the fact that water is being sold by foreigners is the main challenge facing my community particularly in Juba. Foreigners may decide to go on a holidaytwo or three days. This leads to water shortages across the city.,"Government has to invest in clean drinking water by connecting pipes under the ground to supply houses at least in the City, Juba.","Water is of poor quality. Meaning, some water tank drivers just go and fetch Nile water and sell it direct without being treated. This causes sickness.",85.5,3,"['High cost of water', 'Limited daily supply', 'Poor water quality']",100.0,64000.0,14.222222222222223,500000.0,111.11111111111111,250000.0,55.55555555555556,,1,9.0,,1.0,4.0,,,,,,,not applicable,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,-1
18-24,Female,Child,8,No formal education,Casual labour,Water Tank,More than 1km,more than 120,Twice per day,100.0,1.0,3,3.0,"High cost of water, Limited daily supply, Poor water quality",Yes,Student,Secondary,Private,"500-1,000",Less than 50,1,Water tank,500000.0,2-6 hours,Yes,"Water is expensive, Poor water quality, Limited storage facilities",2-3 times,0,Rarely,Yes,A few times per month,No,,,,,,,250000.0,,,,,,,,,Not Applicable,poor water quality,installing tabs,the quality is not good at all,130.0,3,"['High cost of water', 'Limited daily supply', 'Poor water quality']",1020.0,100.0,0.0222222222222222,500000.0,111.11111111111111,250000.0,55.55555555555556,,1,4.0,,1.0,2.0,,,,,,,not applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
35-44,Male,Relative,20,Secondary School,Salaried job,Water Tank,More than 1km,30 - 70,Twice per day,200000.0,,2,2.0,"High cost of water, Long distance to water source",No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,not applicable,Not Applicable,500000.0,Not Applicable,,,,,,,,No,,,,,,,250000.0,,,,,,,,,Not Applicable,"Some time the water tank driver may not come on time, you call him several times to deliver water to your area.",Water from Nile need to be installed in the area to ease access.,"JICA has installed water in some part of Juba, but that water system is not operational now, there is a needed for that system of pipes to work so that the community of Juba can access clean water.",50.0,2,"['High cost of water', 'Long distance to water source']",1020.0,200000.0,44.44444444444445,500000.0,111.11111111111111,250000.0,55.55555555555556,,not applicable,,,,,,,,,,,not applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,-1
25-34,Male,Relative,7,Secondary School,Casual labour,Borehole,Less than 100m,71 - 100,Twice per day,77000.0,,2,3.0,High cost of water,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,not applicable,Not Applicable,500000.0,Not Applicable,,,,,,,,Yes,Veterinarian ( Animals health worker),Private,Less than 50,Less than 20,Water tanker/truck,Very reliable,1000000.0,A few times per week,Store water in tanks/containers,Rarely,"Patient hygiene (washing, bathing)",No,"Alternative water sources used (tankers, boreholes, wells)",Sometimes affected,significantly,Strongly disagree,Scarcity of clean water,Employment and setting up of centres for production of clean water,Factory that can produce safe and clean water to our community ,85.5,2,['High cost of water'],100.0,77000.0,17.11111111111111,500000.0,111.11111111111111,1000000.0,222.22222222222223,,not applicable,,,,,2.0,1.0,3.0,0.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-1
25-34,Male,Relative,12,Tertiary school,Business,Water Tank,100-500m,more than 120,Once per day,75000.0,0.0,1,0.0,Long distance to water source,Yes,Student,University/College,Public,Less than 500,Less than 50,2,Piped water,500000.0,Always available,Maybe,Water is expensive,2-3 times,1,2-3 times,No,Daily,No,,,,,,,250000.0,,,,,,,,,Not Applicable,Money,Reducing price,Improving roads for easy transportation of water,130.0,1,['Long distance to water source'],300.0,75000.0,16.666666666666668,500000.0,111.11111111111111,250000.0,55.55555555555556,,2,,2.5,0.0,7.0,,,,,,,not applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1
25-34,Female,Sister ,4,Tertiary school,Business,Protected well,Not far ,30 - 70,Twice per day,30000.0,0.0,2,3.0,High cost of water,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,not applicable,Not Applicable,500000.0,Not Applicable,,,,,,,,No,,,,,,,250000.0,,,,,,,,,Not Applicable,High costs ,Lower costs so that people can have safe water,Availability of unclean water for daily use.,50.0,2,['High cost of water'],,30000.0,6.666666666666667,500000.0,111.11111111111111,250000.0,55.55555555555556,,not applicable,,,,,,,,,,,not applicable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
25-34,Male,Head of household,10,Tertiary school,Business,Piped water,Less than 100m,30 - 70,Three or more times per day,8000.0,,0,3.0,High cost of water,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,not applicable,Not Applicable,500000.0,Not Applicable,,,,,,,,No,,,,,,,250000.0,,,,,,,,,Not Applicable,Shortage of supply on weekends ,Filtering and monitoring a contaminated water system ,No,50.0,0,['High cost of water'],100.0,8000.0,1.777777777777778,500000.0,111.11111111111111,250000.0,55.55555555555556,,not applicable,,,,,,,,,,,not applicable,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1
18-24,Male,Relative,13,No formal education,Farming,Water Tank,More than 1km,25 - 30,Once per day,100000.0,0.0,3,3.0,High cost of water,Yes,Teacher,Primary,Private,Less than 500,Less than 50,1,Water tank,500000.0,More than 12 hours,No,Poor water quality,Once,1,Once,Yes,Daily,No,,,,,,,250000.0,,,,,,,,,Not Applicable,High cost ,Poor road network ,No,27.5,3,['High cost of water'],1020.0,100000.0,22.222222222222225,500000.0,111.11111111111111,250000.0,55.55555555555556,,1,12.0,1.0,1.0,7.0,,,,,,,not applicable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
35-44,Male,Head of household,8,Tertiary school,Salaried job,Water Tank,More than 1km,101 -120,Once per day,60000.0,1.0,3,3.0,High cost of water,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,not applicable,Not Applicable,500000.0,Not Applicable,,,,,,,,No,,,,,,,250000.0,,,,,,,,,Not Applicable,High cost of water is very challenging in Juba,Open more water point in next 100metres maybe reduce the high cost of water in Juba,"Another problem that I may share is the cleanliness of that costly water in Juba, you may assume that the water is clean but after you finish the full container, you see some dirtiness on the container and if you dont clean it frequently your family my fall sick of water borne diseases.",110.5,3,['High cost of water'],1020.0,60000.0,13.333333333333334,500000.0,111.11111111111111,250000.0,55.55555555555556,,not applicable,,,,,,,,,,,not applicable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
25-34,Male,Relative,6,Tertiary school,Salaried job,Water Tank,More than 1km,30 - 70,Twice per day,50000.0,0.0,2,2.0,High cost of water,Yes,Student,University/College,Private,"500-1,000",Less than 50,1,Borehole / Well,500000.0,2-6 hours,No,Poor water quality,Once,0,2-3 times,No,Rarely (once in a while),No,,,,,,,250000.0,,,,,,,,,Not Applicable,No money ,Building More water tapes ,The water tank providers need to ensure they supply safe drinking water,50.0,2,['High cost of water'],1020.0,50000.0,11.111111111111112,500000.0,111.11111111111111,250000.0,55.55555555555556,,1,4.0,2.5,0.0,1.0,,,,,,,not applicable,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
25-34,Male,Child,23,Secondary School,Business,River/Lake,More than 1km,101 -120,Once per day,30000.0,0.0,1,3.0,"High cost of water, Long distance to water source, Poor water quality",Yes,Student,Secondary,Public,Less than 500,Less than 50,1,Water tank,600000.0,2-6 hours,Yes,"Long queues, Water is far from classrooms, Poor water quality",2-3 times,0,Once,Yes,A few times per month,No,,,,,,,250000.0,,,,,,,,,Not Applicable,Lack of adequate water supply and treatment ,Am suggesting that the  water pipe connection  can be put into place for easy assessibility of water by everyone in juba and it treatments ,Water safety measures should be addressed to everyone in juba  so that they can be free from any diseases  that can be transmitted with dirty water ,110.5,1,"['High cost of water', 'Long distance to water source', 'Poor water quality']",1020.0,30000.0,6.666666666666667,600000.0,133.33333333333334,250000.0,55.55555555555556,,1,4.0,1.0,1.0,2.0,,,,,,,not applicable,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-1
18-24,Male,Child,7,Tertiary school,Farming,Water Tank,500m-1km,71 - 100,Three or more times per day,79000.0,1.0,2,3.0,High cost of water,Yes,Administrator,Primary,Private,Less than 500,Less than 50,1,Water tank,500000.0,2-6 hours,Yes,Water is expensive,2-3 times,1,More than 3 times,Yes,A few times per week,Yes,Health Center,Private,Less than 50,Less than 20,Water tanker/truck,Moderately reliable,500000.0,Daily,Store water in tanks/containers,occasionally,"Patient hygiene (washing, bathing)",occasionally,"Alternative water sources used (tankers, boreholes, wells)",Always affected,significantly,Strongly agree,Long distance transportation ,Underground water channel ,The invention of government ,85.5,2,['High cost of water'],500.0,79000.0,17.555555555555557,500000.0,111.11111111111111,500000.0,111.11111111111111,,1,4.0,4.0,1.0,4.0,1.0,2.0,7.0,1.0,2.0,2.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-1
25-34,Male,Relative,10,No formal education,Casual labour,Water Tank,More than 1km,more than 120,Once per day,100000.0,,3,3.0,High cost of water,Yes,Student,University/College,Public,"More than 2,000",More than 200,0,Water tank,500000.0,2-6 hours,No,No potable water is provided to students. ,Rarely,none,Rarely,Yes,A few times per month,No,,,,,,,250000.0,,,,,,,,,Not Applicable,"Safe drinking water has a limited access, in most cases water tank are the available source for drinking water.",The uses of pipeline for urban water ,In our area is a bit OK but in most area water is too expensive to buy. ,130.0,3,['High cost of water'],1020.0,100000.0,22.222222222222225,500000.0,111.11111111111111,250000.0,55.55555555555556,,0,4.0,,1.0,2.0,,,,,,,not applicable,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-1
25-34,Male,Tenant,1,Tertiary school,Salaried job,Borehole,500m-1km,30 - 70,Three or more times per day,17000.0,0.0,3,1.0,"High cost of water, Limited daily supply",Yes,Student,University/College,Private,"500-1,000",50-100,1,Piped water,2000000.0,2-6 hours,Yes,"Long queues, Water is expensive, Water is far from classrooms",More than 3 times,1,2-3 times,No,Rarely (once in a while),No,,,,,,,250000.0,,,,,,,,,Not Applicable,"In my community, safe drinking water is hard to get because of old pipes, contamination, and long distances to water points. Sometimes, water is too expensive or unavailable.","To improve access in Juba, the government and NGOs should repair broken systems, build more boreholes, and provide affordable clean water.","Some families still rely on river water, which is unsafe. More awareness on water purification and hygiene could help reduce waterborne diseases.",50.0,3,"['High cost of water', 'Limited daily supply']",500.0,17000.0,3.777777777777778,2000000.0,444.44444444444446,250000.0,55.55555555555556,,1,4.0,2.5,0.0,1.0,,,,,,,not applicable,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,-1
